from,to,relationship,time,end,,
maxbor,Rschwarzwaldstube,6,NA,NA,,maxbor Rschwarzwaldstube 6
maxbor,Rgästehausklauserfort,6,NA,NA,,maxbor Rgästehausklauserfort 6
klaerf,maxbor,2,NA,NA,,klaerf maxbor 2
tormic,maxbor,2,NA,NA,,tormic maxbor 2
danbod,Rbrothers,3,2022,x,,danbod Rbrothers 3
danbod,Rfalconera,6,2012,2013,,danbod Rfalconera 6
johwuh,danbod,2,2012,2013,,johwuh danbod 2
danbod,Rgästehausklauserfort,6,2013,2014,,danbod Rgästehausklauserfort 6
klaerf,danbod,2,2013,2014,,klaerf danbod 2
danbod,Ratelier,6,2014,2017,,danbod Ratelier 6
janhar,danbod,2,2014,2017,,janhar danbod 2
danbod,Rschwarzwaldstube,6,2017,2019,,danbod Rschwarzwaldstube 6
tormic,danbod,2,2017,2019,,tormic danbod 2
danbod,Rtantris,3,2021,2022,,danbod Rtantris 3
maxhub,Rmuralfarmhouse,3,2023,x,,maxhub Rmuralfarmhouse 3
laukux,Rbok,3,2022,x,,laukux Rbok 3
laukux,Rjellyfish,6,2014,2019,,laukux Rjellyfish 6
stefät,laukux,2,2019,2019,,stefät laukux 2
karspi,Rspitzner,3,NA,NA,,karspi Rspitzner 3
renste,Rtisane,3,2022,x,,renste Rtisane 3
renste,Rschwarzeradler,6,2016,2019,,renste Rschwarzeradler 6
domwac,Rwachterfoodbar,3,2022,x,,domwac Rwachterfoodbar 3
domwac,Rwachterfoodbar,5,2022,x,,domwac Rwachterfoodbar 5
julrei,Resszimmerimoberschwäbischenhof,3,NA,x,,julrei Resszimmerimoberschwäbischenhof 3
julrei,Resszimmerimoberschwäbischenhof,5,NA,x,,julrei Resszimmerimoberschwäbischenhof 5
julrei,Rschwarzwaldstube,6,NA,NA,,julrei Rschwarzwaldstube 6
tormic,julrei,2,NA,NA,,tormic julrei 2
julrei,Rsölringhof,6,NA,NA,,julrei Rsölringhof 6
johkin,julrei,2,NA,NA,,johkin julrei 2
janber,julrei,2,NA,NA,,janber julrei 2
danmäs,Rhegeleins,3,2019,x,,danmäs Rhegeleins 3
gersch,Rbagatelle,3,2020,x,,gersch Rbagatelle 3
gersch,Rbodendorfs,6,2011,2014,,gersch Rbodendorfs 6
holbod,gersch,2,2011,2014,,holbod gersch 2
gersch,Rvictorsfinediningbychristianbau,6,2014,2020,,gersch Rvictorsfinediningbychristianbau 6
chrbau,gersch,2,2014,2020,,chrbau gersch 2
alimei,Rbibraud,3,2014,x,,alimei Rbibraud 3
alimei,Rbibraud,5,2014,x,,alimei Rbibraud 5
alimei,Raqua,6,NA,NA,,alimei Raqua 6
sveelv,alimei,2,NA,NA,,sveelv alimei 2
benpfe,Rintense,3,2017,x,,benpfe Rintense 3
benpfe,Rgästehausklauserfort,6,NA,NA,,benpfe Rgästehausklauserfort 6
klaerf,benpfe,2,NA,NA,,klaerf benpfe 2
maraku,Rmarkos,3,2021,x,,maraku Rmarkos 3
maraku,Rmarkos,5,2021,x,,maraku Rmarkos 5
,,,,,,  
,,,,,,  
