id,name,type,sex,michelin_rating,0tio0lity,county,alive
Rcolombirestaurant,Colombi Restaurant,restaurant,0,1,0,bw,0
sveusi,Sven Usinger,chef,2,1,deutsch,0,1
frecam,Frederico Campolattano,chef,2,1,italienisch,0,1
Reichhalde,Eichhalde,restaurant,0,1,0,bw,0
Rwolfshöhle,Wolfshöhle,restaurant,0,1,0,bw,0
marfau,Martin Fauster,chef,2,1,deutsch,0,1
kevbür,Kevin Bürmann,chef,2,1,deutsch,0,1
Rhaebel,haebel,restaurant,0,1,0,hh,0
davwei,David Weigang,chef,2,1,deutsch,0,1
Rverbene,Verbene,restaurant,0,1,0,rp,0
julkom,Julia Komp,chef,1,1,deutsch,0,1
Rsahilatherestaurant,Sahila - The Restaurant,restaurant,0,1,0,nw,0
klasch,Klaus Schunack,chef,2,1,deutsch,0,1
Rkuultivo,Kuultivo,restaurant,0,1,0,sn,0
tomels,Tom Elstermeyer,chef,2,1,deutsch,0,1
Riko,IKO,restaurant,0,1,0,ni,0
Rmarburgeresszimmer,MARBURGER Esszimmer,restaurant,0,1,0,he,0
denfei,Denis Feix,chef,2,1,deutsch,0,1
harbor,Harry Borst,chef,2,1,deutsch,0,1
Rborst,Borst,restaurant,0,1,0,rp,0
maxbor,Maximilian Borst,chef,2,1,deutsch,0,1
danbod,Daniel Bodamer,chef,2,1,deutsch,0,1
Rbrothers,Brothers,restaurant,0,1,0,by,0
Rmuralfarmhouse,mural farmhouse - FINE DINE,restaurant,0,1,0,by,0
maxhub,Maximilian Huber,chef,2,1,deutsch,0,1
Rbok,BOK Restaurant Brust oder Keule,restaurant,0,1,0,nw,0
laukux,Laurin Kux,chef,2,1,deutsch,0,1
karspi,Karl-Nikolas Spitzner,chef,2,1,deutsch,0,1
Rspitzner,Spitzner,restaurant,0,1,0,nw,0
renste,René Stein,chef,2,1,deutsch,0,1
Rtisane,Tisane,restaurant,0,1,0,by,0
domwac,Dominik Wachter,chef,2,1,deutsch,0,1
Rwachterfoodbar,Wachter Foodbar,restaurant,0,1,0,by,0
julrei,Julius Reisch,chef,2,1,deutsch,0,1
Resszimmerimoberschwäbischenhof,Esszimmer im Oberschwäbischen Hof,restaurant,0,1,0,bw,0
danmäs,Daniel Mästling,chef,2,1,deutsch,0,1
Rhegeleins,Hegel Eins,restaurant,0,1,0,bw,0
gersch,Gerald Schöberl,chef,2,1,deutsch,0,1
Rbagatelle,Bagatelle,restaurant,0,1,0,rp,0
alimei,Alina Meissner-Bebrout,chef,1,1,deutsch,0,1
Rbibraud,bi:braud,restaurant,0,1,0,bw,0
benpfe,Benjamin Pfeifer,chef,2,1,deutsch,0,1
Rintense,Intense,restaurant,0,1,0,rp,0
maraku,Marco Akuzun,chef,2,1,deutsch,0,1
Rmarkos,MARKOS,restaurant,0,1,0,bw,0
domale,Domenik Alex,chef,2,1,deutsch,0,1
Rgasthofalex,Gasthof Alex,restaurant,0,1,0,by,1
nikber,Nikodemus Berger,chef,2,1,deutsch,0,1
Rbonvivant,Bonvivant,restaurant,0,1,0,be,1
andsch,Andreas Schaffrath,chef,2,1,deutsch,0,1
Rlabecasse,La Bécasse,restaurant,0,1,0,nw,1
Rsanktbenedikt,Sankt Benedikt,restaurant,0,1,0,nw,1
maxkre,Maximilian Kreus,chef,2,1,deutsch,0,1
Rimschiffchen,Im Schiffchen,restaurant,0,1,0,nw,1
jeabou,Jean-Claude Bourgueil,chef,2,1,französisch,0,1
Rschattbuch,Schattbuch,restaurant,0,1,0,bw,1
chrmar,Christian Mar,chef,2,1,0,0,1
Rschwabenstube,Schwabenstube,restaurant,0,1,0,bw,1
maxspe,Max Speyer,chef,2,1,0,0,1
Rsoulfood,SoulFood,restaurant,0,1,0,by,1
miclau,Michael Laus,chef,2,1,0,0,1
chrheß,Christine Heß,chef,1,1,0,0,1
Ralteliebe,Alte Liebe,restaurant,0,1,0,by,1
benmit,Benjamin Mitschele,chef,2,1,0,0,1
Rsartory,Sartory,restaurant,0,1,0,by,1
simlan,Simon Lang,chef,2,1,deutsch,0,1
Rlejardindefrance,Le Jardin de France im Stahlbad,restaurant,0,1,0,bw,1
steber,Stéphan Bernhard,chef,2,1,0,0,1
Rmalteshiddenkitchen,Maltes hidden kitchen,restaurant,0,1,0,bw,1
malkuh,Malte Kuhn,chef,2,1,deutsch,0,1
Rgasthauszumraben,Gasthaus zum Raben,restaurant,0,1,0,bw,1
stedis,Steffen Disch,chef,2,1,deutsch,0,1
R1789,1789,restaurant,0,1,0,bw,1
flosto,Florian Stolte,chef,2,1,deutsch,0,1
Rschlossberg,Schlossberg,restaurant,0,1,0,bw,1
jörsac,Jörg Sackmann,chef,2,1,deutsch,0,1
nicsac,Nico Sackmann,chef,2,1,deutsch,0,1
Rpur,PUR,restaurant,0,1,0,by,1
ulrhei,Ulrich Heimann,chef,2,1,deutsch,0,1
Rbandolsurmer,Bandol sur mer,restaurant,0,1,0,be,1
andsau,Andreas Saul,chef,2,1,deutsch,0,1
Rbieberbau,Bieberbau,restaurant,0,1,0,be,1
stepgar,Stephan Garkisch,chef,2,1,0,0,1
jeamat,Jean Matthieu,chef,2,1,0,0,1
Rbricole,Bricole,restaurant,0,1,0,be,1
stezei,Steven Zeidler,chef,2,1,deutsch,0,1
Rcookiescream,Cookies Cream,restaurant,0,1,0,be,1
nichah,Nicholas Patrick Hahn,chef,2,1,deutsch,0,1
Rcordo,Cordo,restaurant,0,1,0,be,1
yansto,Yannic Stockhausen,chef,2,1,deutsch,0,1
Rernst,ernst,restaurant,0,1,0,be,1
dylwat,Dylan Watson-Brawn,chef,2,1,ka0disch,0,1
Rfaelt,faelt,restaurant,0,1,0,be,1
bjosaw,Björn Swanson,chef,2,1,deutsch-US-amerikanischer,0,1
mickem,Michael Kempf,chef,2,2,deutsch,0,1
chrsom,Christian Somann,chef,2,1,0,0,1
Rgolvet,GOLVET,restaurant,0,1,0,be,1
jonzoe,Jonas Zörner,chef,2,1,deutsch,0,1
janrze,Jan Rzehak,chef,2,1,0,0,1
Rhugos,Hugos,restaurant,0,1,0,be,1
ebelan,Eberhard Lange,chef,2,1,deutsch,0,1
