from,to,relationship,time,end
Rvictorsfinedinigbychristianbau,jandie,6,2016,2016
chrbau,jandie,2,2016,2016
Rthetablekevinfehling,jandie,6,2017,2018
kevfeh,jandie,2,2017,2018
matsto,Rostseelounge,3,2022,x
matsto,Rvendome,6,NA,NA
joawis,matsto,2,NA,NA
matsto,Rgourmetrestaurantderbutt,6,2012,NA
andmün,matsto,2,2012,NA
matsto,Rdiebrasserie,6,2017,NA
vjepav,matsto,2,2017,NA
andbei,Rostseelounge,3,2022,x
andbei,Rdiebrasserie,6,2012,2019
vjepav,andbei,2,2012,2019
ronsie,Rfriedrichfranz,3,2008,x
bjöfrei,Rgoldeneranker,3,1997,x
Rente,bjöfrei,6,1995,NA
mickam,bjöfrei,2,1995,NA
fraros,Rrosin,3,1991,x
dirgram,Rgrammonsrestaurant,3,NA,NA
micdyl,Rthestage,3,2021,x
Rschlossloersfeld,micdyl,6,NA,NA
geomim,micdyl,2,NA,NA
stemieß,Relements,3,NA,NA
marblo,Rgenussatelier,3,2014,x
Rvictorsfinedinigbychristianbau,marblo,6,2013,NA
chrbau,marblo,2,2013,NA
stefhum,Rhummelsgourmetstube,5,2006,x
Rroterhahn,stefhum,4,1997,NA
maxsch,stefhum,1,1997,NA
stefhum,Rlandhausfeckl,6,2000,NA
frafec,stefhum,2,2000,NA
stefhum,Rfalconera,6,2002,NA
johwuh,stefhum,2,2002,NA
svenoe,Rmodbysvennöthel,3,NA,NA
dandal,R1876danieldalben,3,NA,NA
marfoe,Ragatas,3,2021,x
marfoe,Ranthonyskitchen,6,NA,NA
antsar,marfoe,2,NA,NA
voldrk,Rdrkosch,3,2016,x
voldrk,Rcolombirestaurant,6,1990,1994
henwei,voldrk,2,1990,1994
sveusi,voldrk,2,1990,1994
voldrk,Rtantris,6,1995,1996
benchm,voldrk,2,1995,1996
jeabou,Rimschiffchen,5,1987,x
dancer,Rleflair,3,NA,NA
yosnag,Rnagaya,5,2003,x
phiwol,Rphoenix,3,2016,x
Rwielandshöhe,phiwol,4,1995,1997
vinkli,phiwol,1,1995,1997
phiwol,Rwaldhotelsonnora,6,1999,2000
phiwol,Rrestaurantbareiss,6,1997,1999
phiwol,clalum,2,1997,1999
yosnag,Ryoshibynagaya,5,2016,x
brwaw,Rtraube,3,NA,NA
frafec,Rlandhausfeckl,5,2000,x
